x1,x2
1.5672057,-2.6912696
0.6431954,-2.7846801
0.33452916,-2.216365
2.3565476,1.0546185
-0.39752102,0.8470979
-2.3585918,1.1415956
0.3876412,1.0850929
1.4218647,0.48866117
-1.1639507,0.78366077
0.6941378,-2.455043
-0.5131557,1.6348433
-2.0198998,1.1195302
-0.33359933,1.2984744
0.07655549,0.8775213
1.0858958,0.91293156
-0.40121436,0.7167747
0.018194437,-0.10958177
-1.7817712,1.5029083
1.9712822,0.7450657
-0.21906018,0.6478754
-0.15941644,-3.0528328
0.003825426,-2.6785715
-2.756067,0.9210645
0.5789988,0.51796883
1.2235153,0.31479046
1.1341574,1.1958839
2.6627867,1.040609
-2.4967167,1.5639668
-0.39492536,1.2653644
-0.35614252,0.32229394
0.45229077,0.6769135
0.53490376,0.6974225
0.23599696,-2.4343617
2.9527295,1.1755058
0.096916914,-2.5091774
-1.0838649,-1.5771003
-2.838194,-2.2812564
1.2427843,0.5449178
-1.4417565,1.2106955
-3.3973927,1.5440059
1.546006,1.0149671
2.7550414,0.097566485
-4.0087156,0.7157903
0.6853354,0.58000827
-0.062271833,0.24159178
-2.824203,0.4356601
1.4387467,-0.9979962
-0.7966621,1.3161736
-1.3186114,0.30997398
0.07029462,0.85917866
1.6644328,0.28240192
-4.179096,1.2738209
1.6358483,0.7984667
0.4736235,-0.10510257
1.125715,1.3455625
-1.1426513,0.58374536
2.179252,0.62440395
-1.7165172,0.98566186
-1.573612,-0.24982852
1.5554206,0.70604527
0.80557036,1.0294526
-2.6443036,1.12864
-1.3570321,-2.3712978
-2.65652,-0.046866775
-1.1897042,1.5182885
0.332515,-2.8465087
4.213234,0.69244576
-1.4241154,-0.04116568
-2.37754,0.47010946
4.390582,1.1019561
-2.5875406,0.89228165
-4.255777,0.69966793
2.2399857,-0.10046443
1.3327467,0.41636816
-0.10668492,1.0260848
2.025243,0.46593702
1.081239,0.35221103
1.6533258,1.376318
-0.712698,1.8704153
-1.7254255,-2.7556531
-0.4018042,-1.5961297
0.5911248,0.622051
-1.12517,-1.258289
-0.25392365,-2.9221113
2.421405,-2.5976126
0.2549684,-2.516418
0.4726236,-2.5180175
1.0909064,0.3578056
-0.96785283,-1.0326295
0.08770633,1.5652106
-3.1675582,1.2577319
1.3100703,1.5113525
4.9261265,1.2317935
-0.8684156,0.56350493
1.4608309,1.3048491
1.2829397,1.580591
-3.1195564,0.7132354
3.051821,1.0973343
2.3208683,0.5760965
-3.3859444,0.83834386
-0.3360908,1.1386836
-4.648319,1.4642792
0.5516455,1.8236501
-1.4832041,0.64350784
-0.8369577,1.5918303
-1.3747795,1.2453392
-3.80368,1.1971875
1.9720762,1.1671734
-0.44100976,-2.3822224
-0.19741178,0.53859526
0.1339066,1.153051
-0.963917,-2.6360912
-2.294331,-0.47944537
-2.591121,0.8962362
0.4182713,0.45861393
-0.88920856,0.9293722
-2.354001,-2.7308104
0.039231062,1.4547254
0.37244058,-1.9210346
1.6754143,-2.2235515
-2.2430258,0.7071551
-1.7089069,0.9218937
-1.1769068,1.3159077
1.6687396,0.81732416
-1.8047245,-0.06785181
0.4777863,0.6220411
-1.1642895,-2.4706097
-0.16893697,0.9295968
-0.81365776,1.0142789
0.5627029,0.23865335
-3.3056035,-2.05368
-0.18959546,1.1752024
-2.310725,1.3731196
-1.0117805,-3.3848472
-2.0806315,1.195983
-1.9377367,1.4092973
-2.2553487,2.0075438
-0.09235668,1.5263758
-1.1722083,0.7994647
1.1803992,0.59603685
-4.088318,0.8567817
