x1,x2
1.9421362,11.980973
2.5895972,11.363034
-0.2991615,-1.4836729
-0.17578621,6.2908254
1.8192542,10.803272
-1.8981574,-1.9297118
2.1079888,6.684466
-3.653224,-0.31993058
2.2985172,8.304521
5.5064154,4.488966
-1.5937169,-0.31690598
-0.14254366,-2.8079267
-2.0762753,-1.9674716
-3.9517186,-0.2486374
1.2989793,11.10226
2.3425064,8.764231
-1.2560236,6.4345016
0.64690006,9.473482
1.5989181,11.198186
2.120462,6.8791165
-0.7354015,-0.99011594
-1.0135511,7.807492
2.4934094,8.380853
0.5504999,11.089211
-1.219647,6.3436704
-2.3067765,7.907226
-1.1080277,6.446801
2.4761317,8.474887
2.8328588,6.6773605
4.259992,7.516091
1.4361169,11.153893
-0.29164788,-0.51651543
-1.4885668,-1.1802385
4.162792,7.4955244
3.2398036,6.813431
2.6506805,6.417542
1.3293843,11.398323
3.721775,11.296486
1.1711004,10.594703
1.4433281,11.275766
1.0897322,5.5926046
0.7285061,5.5607414
2.5177333,8.446506
0.34602946,-1.7744926
5.7372875,5.291893
-1.3171355,-1.6277113
-2.4235141,1.1567541
-0.20818213,-2.8034859
0.4484926,6.270699
2.502081,8.094531
3.1034245,7.7493258
-2.9084775,8.689145
-1.3643895,7.123777
3.580464,8.019039
-1.5379832,13.016704
0.7026926,6.801108
3.6739979,6.6398983
0.50745076,-1.7765006
3.6306934,7.5425653
-2.3028178,13.472427
1.0836397,10.803588
-1.7014018,13.017271
4.2362733,9.42665
3.5551467,8.151976
0.2607198,6.3337593
1.3049427,11.206016
1.2587321,6.3402233
-0.47898474,11.840808
1.6266292,10.408266
0.79189986,9.781701
-0.6757564,12.215338
4.194438,7.713677
-3.2876005,9.309562
-2.1469483,-1.6119391
2.4321337,7.812587
2.1626582,8.209866
0.07823542,-1.3861547
0.6320904,6.4991875
-3.3379765,9.086054
0.83755004,7.64884
0.8579552,7.5515795
-2.2565527,8.113559
-0.47408357,6.3159614
-2.004964,5.754551
-2.0393012,5.729212
2.4171414,9.2143545
0.36983052,6.9806247
5.737954,4.3034835
2.9117708,10.365866
2.687699,6.756304
0.028554274,1.0736195
0.47109464,1.6350867
1.2817523,5.8113313
0.21939512,1.0531588
0.086366534,0.74928975
-2.9091187,1.0747675
-3.9091785,-0.1754283
-1.6213632,-1.9062241
2.8380837,6.8876333
1.8244121,10.312164
1.675546,10.676803
2.3514464,10.853454
1.6793228,10.979525
1.8218559,10.747268
-2.1687765,7.9581776
1.9902307,7.3658614
2.9402792,11.510656
-0.48289934,7.0159464
1.9302527,11.455126
1.2737058,6.052811
0.98441815,6.4558363
4.1336694,7.3822575
3.7383611,10.400875
3.2257378,9.174513
1.7292064,5.6513023
1.8233286,10.12385
2.0405998,9.951018
2.109532,10.800114
2.8543963,10.299906
-0.98435825,-0.18140139
-1.9694908,5.766555
-3.2977395,14.811987
-3.5003052,0.66691726
3.505828,6.5745063
0.789487,6.202996
-0.6846471,5.3278294
1.4400158,5.8546515
-1.5509437,-1.0488521
-2.5381064,8.677932
-0.38274246,-2.012559
-0.9119123,1.4071964
2.2309551,8.829181
0.11804216,6.9626155
1.0423365,5.697293
3.3588605,7.8895555
-0.17732215,5.857838
1.3309296,6.1955547
-1.9362233,-0.63459444
2.9870577,8.132325
2.1491315,11.2348585
-0.4621176,6.2657404
-1.2188776,-0.5933957
1.7697208,11.731799
0.6080951,11.046029
-1.3656864,-0.5823443
4.2305856,11.124496
1.7379816,11.841888
0.19452274,10.092579
2.3314621,10.884832
2.9026024,6.7664933
-0.43874547,6.187709
-0.17204885,8.319516
2.6154466,7.7149334
3.4211068,7.7490788
3.2567837,7.553448
-2.735483,8.6696205
0.29450372,0.33519444
0.614897,9.879261
-0.26415375,-1.3590529
1.7973641,9.086768
0.65921193,11.595103
0.5026605,5.912602
2.0025287,12.531375
-2.444714,-2.0839434
1.087244,8.493966
2.415074,10.68294
-4.0463433,-0.14406334
2.6352146,7.0609818
-2.948796,0.6272714
0.49661526,7.5755315
-1.5336852,0.97326857
-1.0842932,6.553246
0.4886894,6.4502363
-3.9958026,-0.14978646
-1.5565392,-2.3206472
-0.5651884,10.400805
0.1536311,10.781431
4.394921,7.640445
-0.12698957,6.2915335
4.3927617,8.259651
-3.2758596,7.4261246
6.01068,3.804931
0.08329075,6.1496296
-2.5888088,-2.4300125
-3.475081,14.274431
1.3163884,6.9572306
2.7201574,7.988584
1.9841537,6.744232
-1.6151122,7.3303843
-3.7237954,1.437743
-0.33386755,7.2595196
-1.435032,-1.1589401
-1.8644719,-2.388408
-2.058339,-1.3574042
1.9453993,5.973517
-3.4890492,1.0337298
3.7096748,7.114521
-1.6720406,13.222568
-2.837895,7.607695
2.9518054,6.53535
-2.370219,7.6140985
0.014354112,-1.8959568
1.0767457,10.608556
-1.3716073,6.8717628
2.5282762,11.348167
1.7310022,10.980062
-0.85938126,-0.9762638
-0.9653292,-1.1110926
2.8833544,12.094013
-3.9506693,10.205918
-0.73137116,-2.4850702
1.5079561,10.139605
2.0656872,10.586343
1.3836932,7.875996
-1.1479177,7.091133
-0.9255405,11.806208
0.79909897,11.461802
0.5677109,11.348077
3.1101665,7.693341
1.0112426,11.309629
1.454802,11.234518
-0.06980831,-0.40887764
2.4911752,10.590798
1.7724326,10.3220825
2.9801583,6.755387
0.75333387,7.9305196
-2.974857,1.1771269
1.6233388,11.642586
-3.7400427,0.26885226
1.9051015,5.769261
-2.6244793,8.888989
-0.056387477,9.824644
-1.7219167,5.4381475
1.2155429,11.510631
1.0530039,11.077526
-0.2632171,-1.3354241
-3.337854,9.819891
1.1233816,5.7852387
1.055266,5.680979
2.6369112,11.474431
1.6113974,10.712349
2.2915266,9.012046
0.5374744,6.336882
0.062379196,6.21093
-2.5980618,-1.8567142
1.9756768,9.549972
-1.0329982,-0.0057024625
-3.0404913,7.7216997
-2.2048576,1.5446124
-1.9044771,6.1477323
-2.9685113,0.58860654
-2.8256984,8.00981
-2.7430902,8.208869
1.3603498,6.8049893
0.70594966,6.0136986
2.9209201,10.712231
5.7898006,4.2038236
5.714574,4.270295
0.7755438,7.321893
-2.4616778,8.874068
3.6838744,7.3244486
1.3661057,5.4934998
2.217092,7.3072386
0.6490472,7.6046147
2.0115325,11.08107
0.5558284,9.827235
1.1237221,10.016143
3.6537733,7.487225
2.2277284,11.145669
4.4873114,8.625697
1.6811094,11.622656
-3.1690083,0.025363838
1.7849592,11.927158
-1.5401802,6.9077425
1.3405397,13.299384
1.3854741,8.560935
1.1013232,8.251658
-2.11288,7.9824257
-2.148351,8.159814
2.541558,7.139181
-0.29324955,8.280139
-2.687145,1.0502834
-0.73002505,-2.6037006
3.1139243,6.95105
3.419741,8.754784
2.4829252,10.644225
-2.0103948,8.415053
